"category_id","operational_class","operational_category_type","class_role","included_in_evaluation"
"1","Abudefduf saxatilis","species_level","fish_taxon_or_morphotype","TRUE"
"2","Acanthurus chirurgus","species_level","fish_taxon_or_morphotype","TRUE"
"3","Acanthurus coeruleus","species_level","fish_taxon_or_morphotype","TRUE"
"4","Anisotremus virginicus","species_level","fish_taxon_or_morphotype","TRUE"
"5","Azurina cyanea","species_level","fish_taxon_or_morphotype","TRUE"
"6","Bodianus rufus","species_level","fish_taxon_or_morphotype","TRUE"
"7","Calamus spp","genus_level_group","fish_taxon_or_morphotype","TRUE"
"8","Caranx bartholomaei","species_level","fish_taxon_or_morphotype","TRUE"
"9","Caranx latus","species_level","fish_taxon_or_morphotype","TRUE"
"10","Caranx ruber","species_level","fish_taxon_or_morphotype","TRUE"
"11","Cephalopholis cruentata","species_level","fish_taxon_or_morphotype","TRUE"
"12","Chaetodon capistratus","species_level","fish_taxon_or_morphotype","TRUE"
"13","Chaetodon ocellatus","species_level","fish_taxon_or_morphotype","TRUE"
"14","Chaetodon sedentarius","species_level","fish_taxon_or_morphotype","TRUE"
"15","Chaetodon striatus","species_level","fish_taxon_or_morphotype","TRUE"
"16","Chromis scotti","species_level","fish_taxon_or_morphotype","TRUE"
"17","Diodon spp","genus_level_group","fish_taxon_or_morphotype","TRUE"
"18","Epinephelus spp","genus_level_group","fish_taxon_or_morphotype","TRUE"
"19","Ginglymostoma cirratum","species_level","fish_taxon_or_morphotype","TRUE"
"20","Haemulon flavolineatum","species_level","fish_taxon_or_morphotype","TRUE"
"21","Haemulon juvenil","life_stage_or_initial_phase","fish_taxon_or_morphotype","TRUE"
"22","Haemulon plumierii","species_level","fish_taxon_or_morphotype","TRUE"
"23","Haemulon plumierii juvenil","life_stage_or_initial_phase","fish_taxon_or_morphotype","TRUE"
"24","Haemulon sciurus","species_level","fish_taxon_or_morphotype","TRUE"
"25","Halichoeres spp","genus_level_group","fish_taxon_or_morphotype","TRUE"
"26","Holacanthus spp","genus_level_group","fish_taxon_or_morphotype","TRUE"
"27","Kyphosus spp","genus_level_group","fish_taxon_or_morphotype","TRUE"
"28","Lachnolaimus maximus","species_level","fish_taxon_or_morphotype","TRUE"
"29","Lutjanus analis","species_level","fish_taxon_or_morphotype","TRUE"
"30","Lutjanus griseus","species_level","fish_taxon_or_morphotype","TRUE"
"31","Lutjanus jocu","species_level","fish_taxon_or_morphotype","TRUE"
"32","Mycteroperca spp","genus_level_group","fish_taxon_or_morphotype","TRUE"
"33","Nicholsina usta","species_level","fish_taxon_or_morphotype","TRUE"
"34","Ocyurus chrysurus","species_level","fish_taxon_or_morphotype","TRUE"
"35","Pomacanthus arcuatus","species_level","fish_taxon_or_morphotype","TRUE"
"36","Pomacanthus paru","species_level","fish_taxon_or_morphotype","TRUE"
"37","Rhomboplites aurorubens","species_level","fish_taxon_or_morphotype","TRUE"
"38","Scarus coelestinus","species_level","fish_taxon_or_morphotype","TRUE"
"39","Scarus coeruleus","species_level","fish_taxon_or_morphotype","TRUE"
"40","Scarus guacamaia","species_level","fish_taxon_or_morphotype","TRUE"
"41","Scarus iseri","species_level","fish_taxon_or_morphotype","TRUE"
"42","Scarus juvenil","life_stage_or_initial_phase","fish_taxon_or_morphotype","TRUE"
"43","Scarus taeniopterus","species_level","fish_taxon_or_morphotype","TRUE"
"44","Scarus vetula","species_level","fish_taxon_or_morphotype","TRUE"
"45","Sparisoma aurofrenatum","species_level","fish_taxon_or_morphotype","TRUE"
"46","Sparisoma chrysopterum","species_level","fish_taxon_or_morphotype","TRUE"
"47","Sparisoma rubripinne FI","life_stage_or_initial_phase","fish_taxon_or_morphotype","TRUE"
"48","Sparisoma viride","species_level","fish_taxon_or_morphotype","TRUE"
"49","Sparisoma viride FI","life_stage_or_initial_phase","fish_taxon_or_morphotype","TRUE"
"50","Sphyraena barracuda","species_level","fish_taxon_or_morphotype","TRUE"
"51","Urobatis jamaicensis","species_level","fish_taxon_or_morphotype","TRUE"
"52","unidentifiable","auxiliary","auxiliary","TRUE"
