class,class_type,split,images_containing_class,preaugmentation_source_images_containing_class,annotated_object_instances,percent_exported_images_SAMP,percent_exported_images_iNaturalist,percent_exported_images_UNKNOWN_REVIEW,percent_source_images_SAMP,percent_source_images_iNaturalist,percent_source_images_UNKNOWN_REVIEW,bbox_area_fraction_min,bbox_area_fraction_q25,bbox_area_fraction_median,bbox_area_fraction_q75,bbox_area_fraction_max,bbox_area_fraction_mean,present_in_all_three_splits,training_source_image_rank,low_training_representation_lower_quartile,source_dependence
Abudefduf saxatilis,species_level,train,3084,771,16352,92.86640726,7.13359274,0.00000000,92.86640726,7.13359274,0.00000000,0.00000000,0.00054253,0.00108507,0.00289427,0.12238981,0.00314406,True,48,False,SAMP-predominant
Abudefduf saxatilis,species_level,valid,13,13,161,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00003014,0.00045211,0.00067817,0.00341797,0.03827582,0.00394090,True,48,False,SAMP-predominant
Abudefduf saxatilis,species_level,test,13,13,105,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00026524,0.00069625,0.00132620,0.00311656,0.02359423,0.00322217,True,48,False,SAMP-predominant
Acanthurus chirurgus,species_level,train,244,61,1296,11.47540984,88.52459016,0.00000000,11.47540984,88.52459016,0.00000000,0.00002110,0.00544871,0.01473283,0.03535292,0.59377411,0.03515111,True,23,False,iNaturalist-predominant
Acanthurus chirurgus,species_level,valid,11,11,38,9.09090909,90.90909091,0.00000000,9.09090909,90.90909091,0.00000000,0.00035265,0.00495741,0.02343750,0.10483655,0.32166281,0.07510354,True,23,False,iNaturalist-predominant
Acanthurus chirurgus,species_level,test,10,10,31,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00014468,0.01926902,0.04481337,0.08517042,0.34225803,0.07549380,True,23,False,iNaturalist-predominant
Acanthurus coeruleus,species_level,train,332,83,1308,16.86746988,83.13253012,0.00000000,16.86746988,83.13253012,0.00000000,0.00000000,0.00194107,0.00651042,0.02170139,0.56983326,0.03727151,True,31,False,iNaturalist-predominant
Acanthurus coeruleus,species_level,valid,10,10,49,40.00000000,60.00000000,0.00000000,40.00000000,60.00000000,0.00000000,0.00130208,0.00179036,0.00235098,0.00689622,0.18193902,0.01264389,True,31,False,iNaturalist-predominant
Acanthurus coeruleus,species_level,test,10,10,29,10.00000000,90.00000000,0.00000000,10.00000000,90.00000000,0.00000000,0.00034361,0.00249566,0.01840097,0.04036458,0.49515336,0.05858990,True,31,False,iNaturalist-predominant
Anisotremus virginicus,species_level,train,3100,775,9308,98.45161290,1.54838710,0.00000000,98.45161290,1.54838710,0.00000000,0.00000000,0.00151910,0.00270363,0.00590760,0.35697880,0.00692680,True,49,False,SAMP-predominant
Anisotremus virginicus,species_level,valid,15,15,38,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00049732,0.00188682,0.00468388,0.01517741,0.20797164,0.01835044,True,49,False,SAMP-predominant
Anisotremus virginicus,species_level,test,16,16,36,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00059076,0.00325973,0.00678018,0.00951621,0.11537905,0.01379595,True,49,False,SAMP-predominant
Azurina cyanea,species_level,train,172,43,560,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00202546,0.00950641,0.03092373,0.27588493,0.03547820,True,15,False,iNaturalist-predominant
Azurina cyanea,species_level,valid,10,10,30,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00007234,0.01542381,0.03619912,0.06530008,0.32207574,0.05898839,True,15,False,iNaturalist-predominant
Azurina cyanea,species_level,test,10,10,21,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00005425,0.00192901,0.03476442,0.08282697,0.38574520,0.07091517,True,15,False,iNaturalist-predominant
Bodianus rufus,species_level,train,148,37,404,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00008439,0.00741464,0.02656913,0.11825448,0.53884549,0.08973960,True,10,True,iNaturalist-predominant
Bodianus rufus,species_level,valid,10,10,25,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00031648,0.00602214,0.03279321,0.09434679,0.43446181,0.08611473,True,10,True,iNaturalist-predominant
Bodianus rufus,species_level,test,10,10,28,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00051239,0.01403356,0.02808371,0.07186777,0.44764841,0.08093531,True,10,True,iNaturalist-predominant
Calamus spp,genus_level_group,train,224,56,588,23.21428571,76.78571429,0.00000000,23.21428571,76.78571429,0.00000000,0.00010248,0.00945216,0.03089434,0.17134452,0.48524306,0.10258889,True,19,False,iNaturalist-predominant
Calamus spp,genus_level_group,valid,8,8,24,37.50000000,62.50000000,0.00000000,37.50000000,62.50000000,0.00000000,0.00072338,0.01784638,0.10168306,0.19784885,0.35966435,0.11840544,True,19,False,iNaturalist-predominant
Calamus spp,genus_level_group,test,10,10,23,50.00000000,50.00000000,0.00000000,50.00000000,50.00000000,0.00000000,0.00111822,0.01033830,0.03806182,0.10657190,0.41954511,0.08466058,True,19,False,iNaturalist-predominant
Caranx bartholomaei,species_level,train,308,77,1356,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00003014,0.00310149,0.00692033,0.01803627,0.27323254,0.01851734,True,30,False,SAMP-predominant
Caranx bartholomaei,species_level,valid,10,10,39,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00318287,0.01638003,0.02577040,0.04926667,0.27681327,0.04172795,True,30,False,SAMP-predominant
Caranx bartholomaei,species_level,test,10,10,35,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00125386,0.00928639,0.01974224,0.03797743,0.10030864,0.02895775,True,30,False,SAMP-predominant
Caranx latus,species_level,train,696,174,16060,98.85057471,1.14942529,0.00000000,98.85057471,1.14942529,0.00000000,0.00009645,0.00097656,0.00154622,0.00265842,0.29640480,0.00263782,True,42,False,SAMP-predominant
Caranx latus,species_level,valid,10,10,271,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00028935,0.00229070,0.00430411,0.00723380,0.02188525,0.00540046,True,42,False,SAMP-predominant
Caranx latus,species_level,test,10,10,160,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00079572,0.00185366,0.00230125,0.00331549,0.01123951,0.00277684,True,42,False,SAMP-predominant
Caranx ruber,species_level,train,512,128,1920,95.31250000,4.68750000,0.00000000,95.31250000,4.68750000,0.00000000,0.00021099,0.00155301,0.00367718,0.00897594,0.27083936,0.00957243,True,40,False,SAMP-predominant
Caranx ruber,species_level,valid,8,8,32,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00027730,0.00583677,0.01136007,0.01871745,0.05266204,0.01459409,True,40,False,SAMP-predominant
Caranx ruber,species_level,test,10,10,29,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00053048,0.00457538,0.01161627,0.03080392,0.04607928,0.01702644,True,40,False,SAMP-predominant
Cephalopholis cruentata,species_level,train,124,31,312,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00003014,0.01342773,0.09631950,0.19866416,0.85118273,0.13874978,True,2,True,iNaturalist-predominant
Cephalopholis cruentata,species_level,valid,10,10,27,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00012659,0.02227708,0.09794259,0.16667571,0.48684956,0.13180379,True,2,True,iNaturalist-predominant
Cephalopholis cruentata,species_level,test,10,10,25,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00081983,0.00557002,0.06312693,0.14296694,0.38371672,0.09818179,True,2,True,iNaturalist-predominant
Chaetodon capistratus,species_level,train,152,38,360,2.63157895,97.36842105,0.00000000,2.63157895,97.36842105,0.00000000,0.00002110,0.00582321,0.01957194,0.07404393,0.51870841,0.06049939,True,12,True,iNaturalist-predominant
Chaetodon capistratus,species_level,valid,10,10,22,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00007535,0.01575008,0.04345402,0.08771882,0.35356988,0.08687995,True,12,True,iNaturalist-predominant
