gt,pred,n,gt_name,pred_name
0,0,0,fish,fish
0,1,0,fish,Abudefduf saxatilis
0,10,0,fish,Caranx ruber
0,11,0,fish,Cephalopholis cruentata
0,12,0,fish,Chaetodon capistratus
0,13,0,fish,Chaetodon ocellatus
0,14,0,fish,Chaetodon sedentarius
0,15,0,fish,Chaetodon striatus
0,16,0,fish,Chromis scotti
0,17,0,fish,Diodon spp
0,18,0,fish,Epinephelus spp
0,19,0,fish,Ginglymostoma cirratum
0,2,0,fish,Acanthurus chirurgus
0,20,0,fish,Haemulon flavolineatum
0,21,0,fish,Haemulon juvenil
0,22,0,fish,Haemulon plumierii
0,23,0,fish,Haemulon plumierii juvenil
0,24,0,fish,Haemulon sciurus
0,25,0,fish,Halichoeres spp
0,26,0,fish,Holacanthus spp
0,27,0,fish,Kyphosus spp
0,28,0,fish,Lachnolaimus maximus
0,29,0,fish,Lutjanus analis
0,3,0,fish,Acanthurus coeruleus
0,30,0,fish,Lutjanus griseus
0,31,0,fish,Lutjanus jocu
0,32,0,fish,Mycteroperca spp
0,33,0,fish,Nicholsina usta
0,34,0,fish,Ocyurus chrysurus
0,35,0,fish,Pomacanthus arcuatus
0,36,0,fish,Pomacanthus paru
0,37,0,fish,Rhomboplites aurorubens
0,38,0,fish,Scarus coelestinus
0,39,0,fish,Scarus coeruleus
0,4,0,fish,Anisotremus virginicus
0,40,0,fish,Scarus guacamaia
0,41,0,fish,Scarus iseri
0,42,0,fish,Scarus juvenil
0,43,0,fish,Scarus taeniopterus
0,44,0,fish,Scarus vetula
0,45,0,fish,Sparisoma aurofrenatum
0,46,0,fish,Sparisoma chrysopterum
0,47,0,fish,Sparisoma rubripinne FI
0,48,0,fish,Sparisoma viride
0,49,0,fish,Sparisoma viride FI
0,5,0,fish,Azurina cyanea
0,50,0,fish,Sphyraena barracuda
0,51,0,fish,Urobatis jamaicensis
0,52,0,fish,unidentifiable
0,6,0,fish,Bodianus rufus
0,7,0,fish,Calamus spp
0,8,0,fish,Caranx bartholomaei
0,9,0,fish,Caranx latus
0,background,0,fish,background
1,0,0,Abudefduf saxatilis,fish
1,1,85,Abudefduf saxatilis,Abudefduf saxatilis
1,10,0,Abudefduf saxatilis,Caranx ruber
1,11,0,Abudefduf saxatilis,Cephalopholis cruentata
1,12,0,Abudefduf saxatilis,Chaetodon capistratus
1,13,0,Abudefduf saxatilis,Chaetodon ocellatus
1,14,0,Abudefduf saxatilis,Chaetodon sedentarius
1,15,0,Abudefduf saxatilis,Chaetodon striatus
1,16,0,Abudefduf saxatilis,Chromis scotti
1,17,0,Abudefduf saxatilis,Diodon spp
1,18,0,Abudefduf saxatilis,Epinephelus spp
1,19,0,Abudefduf saxatilis,Ginglymostoma cirratum
1,2,0,Abudefduf saxatilis,Acanthurus chirurgus
1,20,0,Abudefduf saxatilis,Haemulon flavolineatum
1,21,0,Abudefduf saxatilis,Haemulon juvenil
1,22,0,Abudefduf saxatilis,Haemulon plumierii
1,23,0,Abudefduf saxatilis,Haemulon plumierii juvenil
1,24,0,Abudefduf saxatilis,Haemulon sciurus
1,25,0,Abudefduf saxatilis,Halichoeres spp
1,26,0,Abudefduf saxatilis,Holacanthus spp
1,27,0,Abudefduf saxatilis,Kyphosus spp
1,28,0,Abudefduf saxatilis,Lachnolaimus maximus
1,29,0,Abudefduf saxatilis,Lutjanus analis
1,3,0,Abudefduf saxatilis,Acanthurus coeruleus
1,30,0,Abudefduf saxatilis,Lutjanus griseus
1,31,0,Abudefduf saxatilis,Lutjanus jocu
1,32,0,Abudefduf saxatilis,Mycteroperca spp
1,33,0,Abudefduf saxatilis,Nicholsina usta
1,34,0,Abudefduf saxatilis,Ocyurus chrysurus
1,35,0,Abudefduf saxatilis,Pomacanthus arcuatus
1,36,0,Abudefduf saxatilis,Pomacanthus paru
1,37,0,Abudefduf saxatilis,Rhomboplites aurorubens
1,38,0,Abudefduf saxatilis,Scarus coelestinus
1,39,0,Abudefduf saxatilis,Scarus coeruleus
1,4,0,Abudefduf saxatilis,Anisotremus virginicus
1,40,0,Abudefduf saxatilis,Scarus guacamaia
1,41,0,Abudefduf saxatilis,Scarus iseri
1,42,0,Abudefduf saxatilis,Scarus juvenil
1,43,0,Abudefduf saxatilis,Scarus taeniopterus
1,44,0,Abudefduf saxatilis,Scarus vetula
1,45,0,Abudefduf saxatilis,Sparisoma aurofrenatum
