"gt_order","gt_id","gt_label","gt_abbr","pred_order","pred_id","pred_label","pred_abbr","count","row_total","source_row_percent","within_row_proportion"
1,"1","Abudefduf saxatilis","Abu.saxa",1,"1","Abudefduf saxatilis","Abu.saxa",85,105,80.9523809523809,0.80952380952381
1,"1","Abudefduf saxatilis","Abu.saxa",2,"2","Acanthurus chirurgus","Aca.chir",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",3,"3","Acanthurus coeruleus","Aca.coer",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",4,"4","Anisotremus virginicus","Ani.virg",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",5,"5","Azurina cyanea","Azu.cyan",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",6,"6","Bodianus rufus","Bod.rufu",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",7,"7","Calamus spp","Cal.spp",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",8,"8","Caranx bartholomaei","Car.bart",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",9,"9","Caranx latus","Car.latu",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",10,"10","Caranx ruber","Car.rube",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",11,"11","Cephalopholis cruentata","Cep.crue",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",12,"12","Chaetodon capistratus","Cha.capi",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",13,"13","Chaetodon ocellatus","Cha.ocel",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",14,"14","Chaetodon sedentarius","Cha.sede",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",15,"15","Chaetodon striatus","Cha.stri",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",16,"16","Chromis scotti","Chr.scot",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",17,"17","Diodon spp","Dio.spp",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",18,"18","Epinephelus spp","Epi.spp",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",19,"19","Ginglymostoma cirratum","Gin.cirr",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",20,"20","Haemulon flavolineatum","Hae.flav",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",21,"21","Haemulon juvenil","Hae.juv",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",22,"22","Haemulon plumierii","Hae.plum",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",23,"23","Haemulon plumierii juvenil","Hae.plum juv",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",24,"24","Haemulon sciurus","Hae.sciu",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",25,"25","Halichoeres spp","Hal.spp",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",26,"26","Holacanthus spp","Hol.spp",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",27,"27","Kyphosus spp","Kyp.spp",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",28,"28","Lachnolaimus maximus","Lac.maxi",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",29,"29","Lutjanus analis","Lut.anal",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",30,"30","Lutjanus griseus","Lut.gris",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",31,"31","Lutjanus jocu","Lut.jocu",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",32,"32","Mycteroperca spp","Myc.spp",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",33,"33","Nicholsina usta","Nic.usta",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",34,"34","Ocyurus chrysurus","Ocy.chry",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",35,"35","Pomacanthus arcuatus","Pom.arcu",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",36,"36","Pomacanthus paru","Pom.paru",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",37,"37","Rhomboplites aurorubens","Rho.auro",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",38,"38","Scarus coelestinus","Sca.coel",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",39,"39","Scarus coeruleus","Sca.coer",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",40,"40","Scarus guacamaia","Sca.guac",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",41,"41","Scarus iseri","Sca.iser",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",42,"42","Scarus juvenil","Sca.juv",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",43,"43","Scarus taeniopterus","Sca.taen",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",44,"44","Scarus vetula","Sca.vetu",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",45,"45","Sparisoma aurofrenatum","Spa.auro",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",46,"46","Sparisoma chrysopterum","Spa.chry",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",47,"47","Sparisoma rubripinne FI","Spa.rubr FI",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",48,"48","Sparisoma viride","Spa.viri",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",49,"49","Sparisoma viride FI","Spa.viri FI",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",50,"50","Sphyraena barracuda","Sph.barr",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",51,"51","Urobatis jamaicensis","Uro.jama",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",52,"52","unidentifiable","Unident.",0,105,0,0
1,"1","Abudefduf saxatilis","Abu.saxa",53,"background","No matched prediction","No match",20,105,19.047619047619,0.19047619047619
2,"2","Acanthurus chirurgus","Aca.chir",1,"1","Abudefduf saxatilis","Abu.saxa",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",2,"2","Acanthurus chirurgus","Aca.chir",17,31,54.8387096774194,0.548387096774194
2,"2","Acanthurus chirurgus","Aca.chir",3,"3","Acanthurus coeruleus","Aca.coer",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",4,"4","Anisotremus virginicus","Ani.virg",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",5,"5","Azurina cyanea","Azu.cyan",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",6,"6","Bodianus rufus","Bod.rufu",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",7,"7","Calamus spp","Cal.spp",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",8,"8","Caranx bartholomaei","Car.bart",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",9,"9","Caranx latus","Car.latu",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",10,"10","Caranx ruber","Car.rube",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",11,"11","Cephalopholis cruentata","Cep.crue",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",12,"12","Chaetodon capistratus","Cha.capi",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",13,"13","Chaetodon ocellatus","Cha.ocel",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",14,"14","Chaetodon sedentarius","Cha.sede",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",15,"15","Chaetodon striatus","Cha.stri",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",16,"16","Chromis scotti","Chr.scot",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",17,"17","Diodon spp","Dio.spp",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",18,"18","Epinephelus spp","Epi.spp",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",19,"19","Ginglymostoma cirratum","Gin.cirr",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",20,"20","Haemulon flavolineatum","Hae.flav",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",21,"21","Haemulon juvenil","Hae.juv",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",22,"22","Haemulon plumierii","Hae.plum",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",23,"23","Haemulon plumierii juvenil","Hae.plum juv",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",24,"24","Haemulon sciurus","Hae.sciu",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",25,"25","Halichoeres spp","Hal.spp",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",26,"26","Holacanthus spp","Hol.spp",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",27,"27","Kyphosus spp","Kyp.spp",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",28,"28","Lachnolaimus maximus","Lac.maxi",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",29,"29","Lutjanus analis","Lut.anal",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",30,"30","Lutjanus griseus","Lut.gris",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",31,"31","Lutjanus jocu","Lut.jocu",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",32,"32","Mycteroperca spp","Myc.spp",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",33,"33","Nicholsina usta","Nic.usta",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",34,"34","Ocyurus chrysurus","Ocy.chry",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",35,"35","Pomacanthus arcuatus","Pom.arcu",1,31,3.2258064516129,0.032258064516129
2,"2","Acanthurus chirurgus","Aca.chir",36,"36","Pomacanthus paru","Pom.paru",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",37,"37","Rhomboplites aurorubens","Rho.auro",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",38,"38","Scarus coelestinus","Sca.coel",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",39,"39","Scarus coeruleus","Sca.coer",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",40,"40","Scarus guacamaia","Sca.guac",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",41,"41","Scarus iseri","Sca.iser",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",42,"42","Scarus juvenil","Sca.juv",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",43,"43","Scarus taeniopterus","Sca.taen",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",44,"44","Scarus vetula","Sca.vetu",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",45,"45","Sparisoma aurofrenatum","Spa.auro",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",46,"46","Sparisoma chrysopterum","Spa.chry",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",47,"47","Sparisoma rubripinne FI","Spa.rubr FI",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",48,"48","Sparisoma viride","Spa.viri",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",49,"49","Sparisoma viride FI","Spa.viri FI",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",50,"50","Sphyraena barracuda","Sph.barr",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",51,"51","Urobatis jamaicensis","Uro.jama",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",52,"52","unidentifiable","Unident.",0,31,0,0
2,"2","Acanthurus chirurgus","Aca.chir",53,"background","No matched prediction","No match",13,31,41.9354838709677,0.419354838709677
3,"3","Acanthurus coeruleus","Aca.coer",1,"1","Abudefduf saxatilis","Abu.saxa",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",2,"2","Acanthurus chirurgus","Aca.chir",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",3,"3","Acanthurus coeruleus","Aca.coer",23,29,79.3103448275862,0.793103448275862
3,"3","Acanthurus coeruleus","Aca.coer",4,"4","Anisotremus virginicus","Ani.virg",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",5,"5","Azurina cyanea","Azu.cyan",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",6,"6","Bodianus rufus","Bod.rufu",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",7,"7","Calamus spp","Cal.spp",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",8,"8","Caranx bartholomaei","Car.bart",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",9,"9","Caranx latus","Car.latu",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",10,"10","Caranx ruber","Car.rube",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",11,"11","Cephalopholis cruentata","Cep.crue",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",12,"12","Chaetodon capistratus","Cha.capi",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",13,"13","Chaetodon ocellatus","Cha.ocel",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",14,"14","Chaetodon sedentarius","Cha.sede",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",15,"15","Chaetodon striatus","Cha.stri",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",16,"16","Chromis scotti","Chr.scot",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",17,"17","Diodon spp","Dio.spp",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",18,"18","Epinephelus spp","Epi.spp",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",19,"19","Ginglymostoma cirratum","Gin.cirr",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",20,"20","Haemulon flavolineatum","Hae.flav",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",21,"21","Haemulon juvenil","Hae.juv",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",22,"22","Haemulon plumierii","Hae.plum",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",23,"23","Haemulon plumierii juvenil","Hae.plum juv",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",24,"24","Haemulon sciurus","Hae.sciu",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",25,"25","Halichoeres spp","Hal.spp",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",26,"26","Holacanthus spp","Hol.spp",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",27,"27","Kyphosus spp","Kyp.spp",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",28,"28","Lachnolaimus maximus","Lac.maxi",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",29,"29","Lutjanus analis","Lut.anal",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",30,"30","Lutjanus griseus","Lut.gris",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",31,"31","Lutjanus jocu","Lut.jocu",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",32,"32","Mycteroperca spp","Myc.spp",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",33,"33","Nicholsina usta","Nic.usta",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",34,"34","Ocyurus chrysurus","Ocy.chry",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",35,"35","Pomacanthus arcuatus","Pom.arcu",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",36,"36","Pomacanthus paru","Pom.paru",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",37,"37","Rhomboplites aurorubens","Rho.auro",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",38,"38","Scarus coelestinus","Sca.coel",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",39,"39","Scarus coeruleus","Sca.coer",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",40,"40","Scarus guacamaia","Sca.guac",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",41,"41","Scarus iseri","Sca.iser",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",42,"42","Scarus juvenil","Sca.juv",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",43,"43","Scarus taeniopterus","Sca.taen",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",44,"44","Scarus vetula","Sca.vetu",1,29,3.44827586206897,0.0344827586206897
3,"3","Acanthurus coeruleus","Aca.coer",45,"45","Sparisoma aurofrenatum","Spa.auro",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",46,"46","Sparisoma chrysopterum","Spa.chry",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",47,"47","Sparisoma rubripinne FI","Spa.rubr FI",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",48,"48","Sparisoma viride","Spa.viri",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",49,"49","Sparisoma viride FI","Spa.viri FI",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",50,"50","Sphyraena barracuda","Sph.barr",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",51,"51","Urobatis jamaicensis","Uro.jama",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",52,"52","unidentifiable","Unident.",0,29,0,0
3,"3","Acanthurus coeruleus","Aca.coer",53,"background","No matched prediction","No match",5,29,17.2413793103448,0.172413793103448
4,"4","Anisotremus virginicus","Ani.virg",1,"1","Abudefduf saxatilis","Abu.saxa",1,36,2.77777777777778,0.0277777777777778
4,"4","Anisotremus virginicus","Ani.virg",2,"2","Acanthurus chirurgus","Aca.chir",0,36,0,0
4,"4","Anisotremus virginicus","Ani.virg",3,"3","Acanthurus coeruleus","Aca.coer",0,36,0,0
4,"4","Anisotremus virginicus","Ani.virg",4,"4","Anisotremus virginicus","Ani.virg",30,36,83.3333333333333,0.833333333333333
4,"4","Anisotremus virginicus","Ani.virg",5,"5","Azurina cyanea","Azu.cyan",0,36,0,0
4,"4","Anisotremus virginicus","Ani.virg",6,"6","Bodianus rufus","Bod.rufu",0,36,0,0
4,"4","Anisotremus virginicus","Ani.virg",7,"7","Calamus spp","Cal.spp",0,36,0,0
